"JS_score","ITL_score","USSL"
4.3973063973064,1,"tre"
2.19191919191919,1,"quattro"
3.92929292929293,2,"tre"
4.06397306397306,1,"quattro"
4.53198653198653,1.4,"quattro"
4.06397306397306,1.2,"tre"
3.92929292929293,2.4,"quattro"
4.22558922558923,1,"quattro"
4.73063973063973,1,"quattro"
4.69023569023569,5,"tre"
3.12794612794613,2.4,"quattro"
2.99326599326599,3.6,"tre"
4.95959595959596,1.2,"quattro"
4.53198653198653,1,"quattro"
2.65993265993266,3.2,"tre"
4.73063973063973,1,"quattro"
3.36700336700337,3.6,"tre"
3.02020202020202,2.2,"tre"
4.13131313131313,1,"tre"
4.22558922558923,1,"quattro"
3.73063973063973,1,"quattro"
2.15151515151515,3.2,"quattro"
4.87878787878788,1,"quattro"
3.79461279461279,1.8,"quattro"
3.12794612794613,2.6,"quattro"
3.86531986531987,1,"quattro"
2.32659932659933,2.4,"quattro"
4.06397306397306,1.8,"quattro"
4.06397306397306,1.2,"tre"
2.86531986531987,2.6,"tre"
2.32659932659933,3,"quattro"
4.66329966329966,1.6,"quattro"
4.27609427609428,1,"quattro"
1.12121212121212,2.6,"quattro"
3.39057239057239,1.2,"tre"
4.06397306397306,1.2,"tre"
3.12794612794613,1.6,"quattro"
4.06397306397306,1,"tre"
4.09090909090909,1.4,"tre"
4.06397306397306,1,"tre"
3.92929292929293,1,"tre"
3.94276094276094,1,"tre"
4.06397306397306,1.2,"tre"
4.06397306397306,1,"tre"
4.06397306397306,2.2,"tre"
3.38383838383838,1.8,"tre"
3.46127946127946,1.4,"tre"
3.00673400673401,1.4,"tre"
3.92929292929293,1.2,"tre"
3.52861952861953,2.2,"quattro"
1.92255892255892,2.8,"tre"
3.52861952861953,3.4,"tre"
3.11447811447811,2.2,"quattro"
3.65993265993266,2.6,"tre"
1.76430976430976,3.4,"quattro"
3.996632996633,2.8,"tre"
2.99326599326599,3.2,"tre"
3.996632996633,1.8,"quattro"
4.14478114478114,1,"quattro"
3.94276094276094,2.6,"tre"
2.52525252525253,3.6,"quattro"
4.93265993265993,1,"tre"
3.06734006734007,1.8,"tre"
1.85858585858586,1,"tre"
4.14141414141414,1,"quattro"
2.46127946127946,1,"tre"
3.86531986531987,1.2,"quattro"
4.7979797979798,2,"quattro"
3.47474747474748,2.4,"quattro"
3.92929292929293,2.6,"tre"
