"Cell_Line","Condition","Time_h","Replicate","Absorbance","ID_Traiettoria"
"MDA-MB 468","SCR",0,1,0.1233,"MDA-MB 468_SCR_1"
"MDA-MB 468","SCR",0,2,0.1337,"MDA-MB 468_SCR_2"
"MDA-MB 468","SCR",0,3,0.1119,"MDA-MB 468_SCR_3"
"MDA-MB 468","shPADI3",0,1,0.0888,"MDA-MB 468_shPADI3_1"
"MDA-MB 468","shPADI3",0,2,0.2998,"MDA-MB 468_shPADI3_2"
"MDA-MB 468","shPADI3",0,3,0.1734,"MDA-MB 468_shPADI3_3"
"MDA-MB 468","ShChD4_360",0,1,0.1815,"MDA-MB 468_ShChD4_360_1"
"MDA-MB 468","ShChD4_360",0,2,0.1332,"MDA-MB 468_ShChD4_360_2"
"MDA-MB 468","ShChD4_360",0,3,0.1445,"MDA-MB 468_ShChD4_360_3"
"MDA-MB 468","ShChD4_363",0,1,0.187,"MDA-MB 468_ShChD4_363_1"
"MDA-MB 468","ShChD4_363",0,2,0.1556,"MDA-MB 468_ShChD4_363_2"
"MDA-MB 468","ShChD4_363",0,3,0.2138,"MDA-MB 468_ShChD4_363_3"
"MDA-MB 468","SCR",24,1,0.1693,"MDA-MB 468_SCR_1"
"MDA-MB 468","SCR",24,2,0.1815,"MDA-MB 468_SCR_2"
"MDA-MB 468","SCR",24,3,0.2039,"MDA-MB 468_SCR_3"
"MDA-MB 468","shPADI3",24,1,0.1462,"MDA-MB 468_shPADI3_1"
"MDA-MB 468","shPADI3",24,2,0.142,"MDA-MB 468_shPADI3_2"
"MDA-MB 468","shPADI3",24,3,0.1271,"MDA-MB 468_shPADI3_3"
"MDA-MB 468","ShChD4_360",24,1,0.1531,"MDA-MB 468_ShChD4_360_1"
"MDA-MB 468","ShChD4_360",24,2,0.137,"MDA-MB 468_ShChD4_360_2"
"MDA-MB 468","ShChD4_360",24,3,0.1268,"MDA-MB 468_ShChD4_360_3"
"MDA-MB 468","ShChD4_363",24,1,0.171,"MDA-MB 468_ShChD4_363_1"
"MDA-MB 468","ShChD4_363",24,2,0.1893,"MDA-MB 468_ShChD4_363_2"
"MDA-MB 468","ShChD4_363",24,3,0.1888,"MDA-MB 468_ShChD4_363_3"
