Azienda_code,Unita_code,Qualifica_code,ID_base,CAW_received,ITL_score
ULSS4,MED,SAN,A_06_4_MEDOSS,32,16
ULSS3,MED,SAN,AA22_3_MEDOSS,34,15
ULSS4,MED,SAN,AN18_4_MEDOSS,31,21
ULSS3,MED,SAN,AN50_3_MEDOSS,37,12
ULSS3,MED,SAN,AN73_3_MEDOSS,35,17
ULSS3,ADI,SAN,AO60_3_ADIINF,25,13
ULSS3,PSO,SAN,B_22_3_PSOOSS,23,24
ULSS4,PSO,SAN,BR61_4_PSOOSS,38,16
ULSS4,PSO,SAN,BZ44_4_PSOINF,39,44
ULSS4,MED,SAN,CB78_4_MEDOSS,25,23
ULSS3,PSO,SAN,CD69_3_PSOINF,36,31
ULSS4,MED,SAN,CD69_4_MEDOSS,38,16
ULSS4,ADI,SAN,CD85_4_ADIINF,37,16
ULSS3,ADI,SAN,CL02_3_ADIINF,19,30
ULSS3,MED,SAN,CL21_3_MEDINF,44,14
ULSS4,MED,SAN,CL25_4_MEDINF,29,33
ULSS4,MED,SAN,CL61_4_MEDINF,31,20
ULSS4,MED,MED,CL63_4_MEDMED,38,13
ULSS4,PSO,SAN,CN02_4_PSOTEC,32,16
ULSS3,ADI,MED,CN03_3_ADIMED,33,11
ULSS4,MED,SAN,CN09_4_MEDINF,28,28
ULSS3,ADI,SAN,CN17_3_ADIINF,31,15
ULSS4,ADI,SAN,CN24_4_ADIINF,38,20
ULSS3,PSO,SAN,CN28_3_PSOINF,35,22
ULSS4,ADI,SAN,CN32_4_ADIINF,35,17
ULSS3,MED,MED,CN37_3_MEDMED,26,25
ULSS4,PSO,SAN,CN42_4_PSOINF,36,21
ULSS3,PSO,SAN,CN44_3_PSOINF,43,15
ULSS4,PSO,SAN,CN46_4_PSOINF,34,27
ULSS3,MED,MED,CN54_3_MEDMED,31,26
ULSS3,PSO,SAN,CN63_3_PSOINF,39,20
ULSS4,PSO,SAN,CR12_4_PSOOSS,34,13
ULSS4,MED,SAN,CR29_4_MEDINF,22,28
ULSS3,PSO,SAN,CR43_3_PSOALT,17,13
ULSS4,ADI,SAN,CR55_4_ADIINF,28,17
ULSS4,ADI,SAN,CR60_4_ADIOSS,29,16
ULSS3,PSO,SAN,CR61_3_PSOINF,25,13
ULSS3,MED,SAN,CR63_3_MEDOSS,29,20
ULSS3,PSO,SAN,CR93_3_PSOALT,33,11
ULSS3,ADI,SAN,CR94_3_ADIINF,38,14
ULSS3,PSO,SAN,CR96_3_PSOALT,26,16
ULSS3,MED,SAN,CS56_3_MEDINF,28,12
ULSS3,PSO,SAN,CS85_3_PSOINF,23,14
ULSS4,MED,SAN,CS92_4_MEDINF,36,21
ULSS4,PSO,SAN,CT07_4_PSOINF,25,17
ULSS4,MED,SAN,CT15_4_MEDINF,31,17
ULSS3,PSO,SAN,CT18_3_PSOTEC,25,18
ULSS3,MED,SAN,CT34_3_MEDINF,39,17
ULSS3,MED,SAN,CT38_3_MEDOSS,38,25
ULSS4,MED,SAN,CT40_4_MEDINF,23,24
ULSS3,PSO,SAN,CT73_3_PSOINF,24,29
ULSS4,MED,MED,CT87_4_MEDMED,34,23
ULSS3,MED,SAN,CV74_3_MEDINF,36,25
ULSS3,PSO,SAN,DC47_3_PSOINF,24,32
ULSS3,ADI,SAN,DD39_3_ADIINF,28,23
ULSS3,PSO,SAN,DD63_3_PSOINF,34,29
ULSS4,PSO,MED,DF11_4_PSOMED,32,17
ULSS3,MED,MED,DG41_3_MEDMED,30,12
ULSS4,PSO,SAN,DG51_4_PSOOSS,34,28
ULSS3,MED,SAN,DK14_3_MEDINF,25,30
ULSS4,ADI,SAN,DL31_4_ADIINF,42,15
ULSS4,MED,SAN,DM14_4_MEDOSS,37,19
ULSS4,ADI,SAN,DM30_4_ADIINF,34,11
ULSS4,MED,SAN,DN02_4_MEDOSS,41,13
ULSS3,PSO,SAN,DN06_3_PSOOSS,23,13
ULSS4,ADI,SAN,DN08_4_ADITEC,31,12
ULSS3,MED,SAN,DN65_3_MEDOSS,23,27
ULSS4,ADI,MED,DN95_4_ADIMED,39,26
ULSS4,PSO,SAN,DN97_4_PSOINF,26,25
ULSS3,PSO,SAN,DR03_3_PSOINF,23,13
ULSS3,PSO,SAN,DR57_3_PSOTEC,33,21
ULSS3,MED,SAN,DS13_3_MEDINF,27,28
ULSS3,PSO,SAN,DS31_3_PSOINF,32,15
ULSS4,MED,SAN,DT44_4_MEDOSS,38,16
ULSS4,PSO,SAN,DT54_4_PSOOSS,38,21
